batter,bowling_team,runs,balls,strike_rate
A Ashish Reddy,Chennai Super Kings,3.0,3,100.0
A Ashish Reddy,Mumbai Indians,10.0,10,100.0
A Ashish Reddy,Punjab Kings,8.0,8,100.0
A Chopra,Delhi Capitals,13.0,18,72.22222222222221
A Chopra,Mumbai Indians,1.0,4,25.0
A Chopra,Punjab Kings,2.0,3,66.66666666666666
A Chopra,Royal Challengers Bangalore,2.0,5,40.0
A Chopra,Sunrisers Hyderabad,35.0,45,77.77777777777779
A Flintoff,Delhi Capitals,16.0,18,88.88888888888889
A Flintoff,Mumbai Indians,24.0,25,96.0
A Flintoff,Royal Challengers Bangalore,22.0,14,157.14285714285714
A Kumble,Chennai Super Kings,3.0,6,50.0
A Kumble,Delhi Capitals,2.0,2,100.0
A Kumble,Mumbai Indians,9.0,12,75.0
A Kumble,Punjab Kings,9.0,15,60.0
A Kumble,Rajasthan Royals,8.0,8,100.0
A Kumble,Sunrisers Hyderabad,4.0,6,66.66666666666666
A Mishra,Chennai Super Kings,19.0,16,118.75
A Mishra,Delhi Capitals,6.0,7,85.71428571428571
A Mishra,Kochi Tuskers Kerala,0.0,1,0.0
A Mishra,Kolkata Knight Riders,57.0,55,103.63636363636364
A Mishra,Mumbai Indians,72.0,60,120.0
A Mishra,Punjab Kings,18.0,18,100.0
A Mishra,Rajasthan Royals,8.0,16,50.0
A Mishra,Rising Pune Supergiant,0.0,1,0.0
A Mishra,Sunrisers Hyderabad,6.0,15,40.0
A Mithun,Chennai Super Kings,11.0,8,137.5
A Mithun,Delhi Capitals,5.0,6,83.33333333333334
A Mithun,Punjab Kings,16.0,10,160.0
A Mukund,Rajasthan Royals,0.0,1,0.0
A Nehra,Chennai Super Kings,1.0,2,50.0
A Nehra,Punjab Kings,6.0,21,28.57142857142857
A Nehra,Sunrisers Hyderabad,22.0,16,137.5
A Singh,Chennai Super Kings,1.0,2,50.0
A Singh,Delhi Capitals,0.0,1,0.0
A Singh,Kolkata Knight Riders,1.0,4,25.0
A Singh,Mumbai Indians,0.0,3,0.0
A Symonds,Chennai Super Kings,131.0,123,106.5040650406504
A Symonds,Delhi Capitals,170.0,109,155.96330275229357
A Symonds,Kolkata Knight Riders,100.0,102,98.0392156862745
A Symonds,Mumbai Indians,22.0,26,84.61538461538461
A Symonds,Punjab Kings,154.0,121,127.27272727272727
A Symonds,Rajasthan Royals,201.0,138,145.65217391304347
