runs_conceded,balls,wickets,economy
106.0,66,2.0,9.636363636363637
1089.0,983,49.0,6.646998982706002
1021.0,901,54.0,6.799112097669257
196.0,126,3.0,9.333333333333334
813.0,691,42.0,7.059334298118669
31.0,18,1.0,10.333333333333334
260.0,246,17.0,6.341463414634147
664.0,522,23.0,7.6321839080459775
67.0,38,3.0,10.578947368421051
80.0,46,0.0,10.434782608695652
41.0,25,1.0,9.84
817.0,577,26.0,8.495667244367418
775.0,646,34.0,7.198142414860682
160.0,103,8.0,9.320388349514563
201.0,176,9.0,6.8522727272727275
76.0,56,1.0,8.142857142857142
230.0,189,12.0,7.301587301587302
349.0,245,8.0,8.546938775510204
215.0,195,9.0,6.615384615384616
18.0,20,0.0,5.4
63.0,55,2.0,6.872727272727273
239.0,177,7.0,8.101694915254239
5.0,6,1.0,5.0
138.0,106,4.0,7.811320754716981
116.0,88,3.0,7.909090909090908
114.0,73,5.0,9.36986301369863
45.0,30,0.0,9.0
49.0,35,0.0,8.399999999999999
29.0,14,0.0,12.42857142857143
47.0,34,2.0,8.294117647058822
246.0,193,7.0,7.647668393782384
91.0,49,2.0,11.142857142857142
513.0,441,16.0,6.979591836734693
103.0,85,4.0,7.270588235294117
228.0,176,7.0,7.7727272727272725
222.0,166,11.0,8.024096385542169
125.0,99,5.0,7.575757575757575
13.0,6,0.0,13.0
58.0,50,2.0,6.959999999999999
337.0,258,6.0,7.837209302325582
49.0,17,0.0,17.294117647058822
107.0,95,8.0,6.757894736842105
43.0,14,0.0,18.42857142857143
306.0,249,19.0,7.373493975903614
88.0,50,2.0,10.56
80.0,51,1.0,9.411764705882353
56.0,43,4.0,7.813953488372094
28.0,18,1.0,9.333333333333334
333.0,311,25.0,6.42443729903537
735.0,554,30.0,7.960288808664259
287.0,182,5.0,9.461538461538462
40.0,44,3.0,5.454545454545454
505.0,431,20.0,7.03016241299304
100.0,69,2.0,8.695652173913043
650.0,563,33.0,6.927175843694494
205.0,159,4.0,7.735849056603773
247.0,177,7.0,8.372881355932202
491.0,378,19.0,7.793650793650793
209.0,158,3.0,7.936708860759493
921.0,856,42.0,6.455607476635514
160.0,150,6.0,6.4
20.0,12,1.0,10.0
366.0,329,14.0,6.674772036474164
28.0,24,1.0,7.0
142.0,84,3.0,10.142857142857142
906.0,824,49.0,6.5970873786407775
428.0,337,17.0,7.620178041543028
1089.0,859,32.0,7.606519208381839
1399.0,1108,64.0,7.57581227436823
249.0,234,15.0,6.384615384615385
206.0,196,10.0,6.3061224489795915
63.0,49,2.0,7.714285714285715
204.0,158,9.0,7.746835443037975
1363.0,1004,60.0,8.145418326693227
229.0,192,10.0,7.15625
170.0,130,7.0,7.846153846153847
301.0,206,12.0,8.766990291262136
128.0,98,4.0,7.836734693877551
50.0,32,1.0,9.375
1244.0,906,28.0,8.23841059602649
79.0,52,3.0,9.115384615384615
58.0,47,3.0,7.404255319148936
200.0,185,6.0,6.486486486486487
444.0,296,12.0,9.0
174.0,111,6.0,9.405405405405405
421.0,272,13.0,9.286764705882353
94.0,67,0.0,8.417910447761194
463.0,378,23.0,7.34920634920635
80.0,52,0.0,9.230769230769232
26.0,19,1.0,8.210526315789474
142.0,115,5.0,7.408695652173913
165.0,140,8.0,7.071428571428571
248.0,177,14.0,8.406779661016948
37.0,27,5.0,8.222222222222223
1062.0,769,42.0,8.286085825747724
6.0,7,1.0,5.142857142857142
21.0,6,0.0,21.0
336.0,238,14.0,8.470588235294118
13.0,7,0.0,11.142857142857142
770.0,667,22.0,6.926536731634183
23.0,24,0.0,5.75
302.0,267,11.0,6.786516853932585
1158.0,1072,45.0,6.48134328358209
257.0,213,8.0,7.23943661971831
52.0,30,2.0,10.4
33.0,19,0.0,10.421052631578949
142.0,100,3.0,8.52
532.0,441,33.0,7.238095238095237
45.0,26,1.0,10.384615384615385
960.0,797,48.0,7.227101631116687
