bowler,batting_team,runs_conceded,balls,wickets,economy
A Ashish Reddy,Chennai Super Kings,16.0,13,1.0,7.384615384615385
A Ashish Reddy,Delhi Capitals,29.0,12,0.0,14.5
A Ashish Reddy,Mumbai Indians,11.0,14,1.0,4.714285714285714
A Ashish Reddy,Punjab Kings,40.0,25,2.0,9.600000000000001
A Ashish Reddy,Rising Pune Supergiant,64.0,43,3.0,8.930232558139535
A Ashish Reddy,Royal Challengers Bangalore,36.0,25,1.0,8.64
A Chandila,Royal Challengers Bangalore,29.0,24,0.0,7.25
A Flintoff,Delhi Capitals,50.0,24,0.0,12.5
A Flintoff,Mumbai Indians,45.0,24,1.0,11.25
A Flintoff,Royal Challengers Bangalore,11.0,18,1.0,3.666666666666667
A Kumble,Chennai Super Kings,121.0,145,7.0,5.006896551724138
A Kumble,Delhi Capitals,127.0,122,5.0,6.245901639344262
A Kumble,Kolkata Knight Riders,104.0,115,4.0,5.426086956521739
A Kumble,Mumbai Indians,187.0,135,3.0,8.31111111111111
A Kumble,Punjab Kings,193.0,145,4.0,7.9862068965517246
A Kumble,Rajasthan Royals,113.0,128,9.0,5.296875
A Kumble,Sunrisers Hyderabad,244.0,193,13.0,7.585492227979275
A Mishra,Chennai Super Kings,114.0,94,3.0,7.276595744680852
A Mishra,Delhi Capitals,153.0,86,2.0,10.674418604651162
A Mishra,Kochi Tuskers Kerala,14.0,24,1.0,3.5
A Mishra,Kolkata Knight Riders,177.0,185,8.0,5.7405405405405405
A Mishra,Mumbai Indians,258.0,215,6.0,7.199999999999999
A Mishra,Punjab Kings,119.0,120,9.0,5.95
A Mishra,Rajasthan Royals,251.0,196,17.0,7.683673469387754
A Mishra,Rising Pune Supergiant,99.0,83,3.0,7.156626506024097
A Mishra,Royal Challengers Bangalore,147.0,124,9.0,7.112903225806452
A Mishra,Sunrisers Hyderabad,150.0,133,11.0,6.766917293233083
A Mithun,Chennai Super Kings,89.0,57,2.0,9.368421052631579
A Mithun,Delhi Capitals,76.0,49,3.0,9.306122448979592
A Mithun,Kochi Tuskers Kerala,40.0,27,1.0,8.88888888888889
A Mithun,Kolkata Knight Riders,14.0,14,0.0,6.0
A Mithun,Mumbai Indians,99.0,58,0.0,10.241379310344827
A Mithun,Punjab Kings,60.0,39,0.0,9.230769230769232
A Mithun,Rising Pune Supergiant,28.0,24,0.0,7.0
A Mithun,Sunrisers Hyderabad,34.0,19,0.0,10.736842105263158
A Nehra,Chennai Super Kings,224.0,176,11.0,7.636363636363637
