team1,team2,winner,wins
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,11
Chennai Super Kings,Delhi Capitals,Delhi Capitals,6
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,2
Chennai Super Kings,Gujarat Titans,Gujarat Titans,3
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,1
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,9
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,5
Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,1
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,3
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,10
Chennai Super Kings,Mumbai Indians,Mumbai Indians,12
Chennai Super Kings,Punjab Kings,Chennai Super Kings,8
Chennai Super Kings,Punjab Kings,Punjab Kings,8
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,11
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,6
Chennai Super Kings,Rising Pune Supergiant,Chennai Super Kings,2
Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,10
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,2
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,10
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,8
Delhi Capitals,Chennai Super Kings,Delhi Capitals,5
Delhi Capitals,Gujarat Titans,Delhi Capitals,3
Delhi Capitals,Gujarat Titans,Gujarat Titans,2
Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,1
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,8
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,9
Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1
Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,1
Delhi Capitals,Mumbai Indians,Delhi Capitals,11
Delhi Capitals,Mumbai Indians,Mumbai Indians,8
Delhi Capitals,Punjab Kings,Delhi Capitals,9
Delhi Capitals,Punjab Kings,Punjab Kings,8
Delhi Capitals,Rajasthan Royals,Delhi Capitals,9
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,6
Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,2
Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,2
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,4
Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,10
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,9
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,9
Gujarat Titans,Chennai Super Kings,Chennai Super Kings,1
Gujarat Titans,Chennai Super Kings,Gujarat Titans,1
Gujarat Titans,Delhi Capitals,Delhi Capitals,3
Gujarat Titans,Delhi Capitals,Gujarat Titans,1
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,2
Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,2
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,3
Gujarat Titans,Mumbai Indians,Gujarat Titans,4
Gujarat Titans,Mumbai Indians,Mumbai Indians,1
Gujarat Titans,Punjab Kings,Punjab Kings,4
Gujarat Titans,Rajasthan Royals,Gujarat Titans,1
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,1
Gujarat Titans,Rising Pune Supergiant,Gujarat Titans,2
Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,1
Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,5
Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,1
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,4
Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,1
Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,1
Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,1
Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,1
Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,1
Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,1
Kochi Tuskers Kerala,Sunrisers Hyderabad,Sunrisers Hyderabad,1
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,10
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,5
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,7
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,9
Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,3
Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,1
Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,1
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,7
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,11
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,10
Kolkata Knight Riders,Punjab Kings,Punjab Kings,7
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,9
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,7
Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,2
Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,2
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,9
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,5
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,13
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,3
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,1
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,2
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,1
Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,1
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,1
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,3
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,4
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,3
Lucknow Super Giants,Punjab Kings,Punjab Kings,1
Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,1
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,1
Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,1
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,1
Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,1
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7
Mumbai Indians,Chennai Super Kings,Mumbai Indians,8
Mumbai Indians,Delhi Capitals,Delhi Capitals,5
Mumbai Indians,Delhi Capitals,Mumbai Indians,11
Mumbai Indians,Gujarat Titans,Gujarat Titans,1
Mumbai Indians,Gujarat Titans,Mumbai Indians,3
Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,1
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,4
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,12
Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,1
Mumbai Indians,Lucknow Super Giants,Mumbai Indians,1
Mumbai Indians,Punjab Kings,Mumbai Indians,7
Mumbai Indians,Punjab Kings,Punjab Kings,8
